id,name
1271889,Fedusar
1269507,Jaisalmer
1265944,Kotri
1259148,Pushkar
1279159,Ajmer
1267995,Kanpur
1273854,Collectorganj
1265567,Kunwar
1275715,State of Bihar
1271439,Gaya
1275389,Bodh Gaya
1275339,Mumbai
6619349,Breach Candy
1271181,Girgaum
1269320,State of Jammu and Kashmir
1252797,Yamunanagar
1270855,Govindgarh
1268525,Kala
1267154,Khajuraho
1270770,State of Gujarat
1257568,Samalji
1266776,Kheradi
1274369,Chhala
1257921,Sabarmati
1279233,Ahmadabad
1255175,Talaja
1262219,Nagasari
1273287,Delvada
1271155,Union Territory of Daman and Diu
1271090,Gogola
1272502,Diu
1272371,Dores
1259480,Podame
1273541,Dangrawari
1262154,Nagwa
1278629,State of Andhra Pradesh
1445294,Dosuwada
1278277,Asirgarh
1261029,State of Odisha
1257073,Sason
1267826,Kararkhera
1276201,Bhamora
1275793,Bhundsi
1260877,Paharganj
1269519,Jaipur
1270644,Gurgaon
1257905,Sabzi Mandi
6993352,Padampur
6994366,Milkia
6994417,Nagaria Ahiran
6994764,Manjha
1253916,Ujiarpur
1262995,Mirzapur
1279262,agra
1270171,Haveri
1252765,Yechagam
1260086,Patna
8131499,Konkan Division
1264527,Chennai
6695236,Kanija Bhavan
1266128,Koraput
1267254,State of Kerala
1167718,Punch
1261913,Nangloi Jat
8051054,Chittaranjan Park
1258847,Rajkot
1266146,Kora
1265169,Lalganj
1269844,Hyderabad
1269843,Hyderabad
1264089,Mali and Munjeri
7304082,Vazhuthacaud
1465730,Park Town
1254661,Thane
1269743,Indore
1274744,Union Territory of Chandigarh
1274746,Chandigarh
1259223,State of Punjab
1268782,Jalandhar
1265874,Kozhikode
1265873,Calicut
8131500,Nagpur Division
1262180,Nagpur
1254176,Trimulgherry
6690107,Kakaguda
1269439,Jalalpur
1271308,Ghaziabad
1272018,Ernakulam
1269633,Jabalpur
1253573,Vadodara
1270101,State of Himachal Pradesh
1256237,Shimla
1254360,Tirupati
1272892,Dhar
1268295,Kalyan
1263780,Mangalore
1274220,Chikmagalur
1272013,Erode
1256515,Shimoga
1262321,Mysore
1271715,Gandhinagar
1264521,Madurai
1444366,State of Uttarakhand
1278010,Badarinath
1265911,Kottayam
1257845,Sagar
1274165,Chinchvad
1275841,Bhopal
1253184,Vijayawada
1272140,Dwarka
1270498,Haldwani
1252942,Wardha
1256436,Solapur
1262374,Mussoorie
1259424,Union Territory of Puducherry
1259425,Puducherry
1271157,State of Goa
1278253,State of Assam
1263214,Meerut
1261529,Nellore
1252881,State of West Bengal
1270396,Haora
8131498,Aurangabad Division
1278149,Aurangabad
1270022,Hisar
1270583,Gwalior
1254361,Tirunelveli
1254089,Tumkur
1263207,State of Meghalaya
1256523,Shillong
1279228,Ahmadnagar
1254649,Thanjavur
1278974,Almora
1279105,Akola
1270239,Hassan
1444365,State of Jharkhand
1258526,Ranchi
7289568,Palakkad district
1264728,Ludhiana
1257055,Satara
1263814,Mandya
1254187,Trichur
1261288,Nirmal
1270668,Guntur
1269317,Jamnagar
7644927,Khordha
1275817,Bhubaneshwar
1278710,Amritsar
1259091,Kollam
1254169,State of Tripura
1279290,Agartala
1266976,Kharagpur
1279017,Aligarh
1279008,Alipur
1258182,Rewa
1276032,Bhavnagar
1271976,Faizabad
1275198,Brahmapur
1269006,Jhansi
1444364,State of Chhattisgarh
1275637,Bilaspur
1252948,Warangal
1272818,Dharwad
1269771,Imphal
1267708,Karnal
1264115,Malegaon
1272145,Dwarahat
1266285,Kolhapur
1258980,Raipur
1258744,Ramanagaram
1270351,Haridwar
1255953,Sivaganga
1259297,Pudukkottai
1274987,Cannanore
1258338,Ratnagiri
1277397,Banda
1264588,Madgaon
1278994,Allahabad
1271421,Georgetown
1259012,Raichur
1260138,Pathanamthitta
1254900,Tarapur
1253914,Ujjain
1275971,Bhilai
1272780,Dhenkanal
1278860,Ambala
1254327,Tiruvannamalai
1254808,Tehri
1253286,Vellore
1257629,Salem
1269935,Hospet
1277936,Bagalkot
1254331,Tiruvallur
1260440,Pantnagar
1263826,Mandvi
1272543,Dindigul
1276509,Bellary
1278946,Alwar
1265014,Latur
1278672,Anantapur
1275899,Bhiwani
1259503,Pithoragarh
1258289,Rayagada
1275716,Bihar Sharif
1269300,Jamshedpur
1278985,Alleppey
1277013,Bareilly
8131501,Nashik Division
1261731,Nasik
1263862,Mandi
1267616,Kasaragod
1266135,Korampallam
1260390,Paralakhemundi
1275665,Bikaner
1270711,Guna
1273802,Cuddalore
1265897,Kovakulam
1253952,Udipi
1279292,Agarpara
1277264,Bankura
1272513,Disa
1256451,Shivpuri
1262771,Morena
1271883,Firozpur
1258044,Roorkee
1266049,Kota
1264389,Mahesana
1274337,Chhatarpur
1256693,Shajapur
1253230,Verna
1276191,Bhandara
1257416,Sangli
1274056,Chitradurga
1270448,Hampi
1272051,Eluru
1267076,Khammam
1279344,Adilabad
1257431,Sangareddi
1261045,Ongole
1258932,Rajahmundry
1253084,Vizianagaram
1261258,Nizamabad
1259896,Perambalur
1258740,Ramanathapuram
1254589,Thiruvarur
1277091,Baramati
1273800,Cuddapah
1260016,Pauri
1273467,Darjiling
1263230,Medak
1254348,Tiruppur
1275812,Bhuj
1260671,Palani
1264154,Malappuram
1262260,Nagappattinam
1268159,Kanchipuram
1259184,Puri
1252984,Waltair
1269096,Jaykaynagar
1268977,Jharsuguda
1268561,Kakinada
1269873,Hunsur
1276388,Betul Bazar
1269939,Hoshangabad
1269910,Hugli
1269388,Jalpaiguri
1274166,Chinchpokli
1255046,Tamluk
1256421,Shrirangapattana
1253079,Vrindavan
1260173,Patan
1262271,State of Nagaland
1266366,Kohima
1263997,Mamallapuram
1255633,Sringeri
1270603,Guruvayur
1273313,Dehra Dun
1258128,Rishikesh
1254657,Thanesar
1254388,Tiruchchirappalli
1270996,Gonda
1262330,Muzaffarpur
1272979,Dhanbad
1267635,Karwar
1275738,Bidar
1255647,Srikakulam
1266122,Korba
1256525,Shiliguri
1274848,Chamba
1262039,Namakkal
1269751,Indi
1273780,Cuttack
1276988,Bargarh
1272552,Dimapur
1270927,Gorakhpur
1259592,Pipili
1254054,Tuni
1273618,Daman
